Package.ID,Brand,Product,Batch,Strain,Distribution.Chain,Date.of.Harvest,Date.of.Manufacture,Cultivated.By,Laboratory.Testing.Results,Point.of.Intended.Sale,Extraction.Method
57480,iLAVA,Lava Rocks 3.5g - Guava Cross,240328-003,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/21/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/6c4f9e58-3847-4dd2-b364-03208e1b1f69,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57336,ZENZONA,zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid,231107-002,Hybrid,"Forever 46, LLC - 00000057DCHF00477864",9/5/2023,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/9fadd3bf-b7db-4396-8588-d5e13bdfca99,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57317,iLAVA,iLAVA Lava Rocks - Sunset Sherb,240328-005,Sunset Sherb,"Forever 46, LLC - 00000057DCHF00477864",2/13/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/755ec2dd-cc27-47ba-9a52-61702d38f830,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57315,iLAVA,iLAVA Lava Rocks - Sunset Sherb,240328-005,Sunset Sherb,"Forever 46, LLC - 00000057DCHF00477864",2/13/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/755ec2dd-cc27-47ba-9a52-61702d38f830,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57314,iLAVA,iLAVA Lava Rocks - Jet Cream,240328-004,Jet Cream,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/8a7fe3ca-a622-478a-bda9-16a90aad6bae,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57312,iLAVA,iLAVA Lava Rocks - Jet Cream,240328-004,Jet Cream,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/8a7fe3ca-a622-478a-bda9-16a90aad6bae,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57311,iLAVA,iLAVA Lava Rocks - Guava Cross,240328-003,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/6c4f9e58-3847-4dd2-b364-03208e1b1f69,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57310,iLAVA,iLAVA Lava Rocks - Guava Cross,240328-003,Guava Cross,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/6c4f9e58-3847-4dd2-b364-03208e1b1f69,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57308,iLAVA,iLAVA Lava Rocks - Dweebz,240328-001,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/77e28007-14f4-437c-a08e-52b3441609de,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57307,iLAVA,iLAVA Lava Rocks - Dweebz,240328-001,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/77e28007-14f4-437c-a08e-52b3441609de,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57266,ZENZONA,zenzona Pineapple 100mg Live Rosin - Hybrid,240319-002-PI,RS #11 X JC,"Forever 46, LLC - 00000057DCHF00477864",12/29/2022,3/25/2024,"Greenmed, Inc. - 00000113ESLZ23317951",https://orders.confidentcannabis.com/report/public/pdf/39a73e0f-1d9b-42f8-9420-dee22e45feed,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57265,ZENZONA,zenzona Green Apple 100mg Live Rosin - Indica,240319-003-GA,Fried Ice Cream,"Forever 46, LLC - 00000057DCHF00477864",2/27/2023,3/25/2024,"Greenmed, Inc. - 00000113ESLZ23317951",https://orders.confidentcannabis.com/report/public/pdf/900aa0e5-c21c-4282-abe6-457ed6ab94cc,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57259,ZENZONA,zenzona Mango Chamoy 100mg Live Rosin - Hybrid,240319-001-MC,WAP #27,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,3/25/2024,"Greenmed, Inc. - 00000113ESLZ23317951",https://orders.confidentcannabis.com/report/public/pdf/316218a8-7adc-4569-bf94-a1ea2d9f1c0a,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57170,ZENZONA,zenzona Vegan Gummies Pineberry 100mg RSO - Indica,230607-001RSO-PINE,Indica,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,2/21/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/cf0c84a3-5467-43ab-9241-cd7804522079,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57169,ZENZONA,zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,230811-001-ITZ,Sativa,"Forever 46, LLC - 00000057DCHF00477864",6/21/2023,3/18/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/adebc888-b4c5-4f46-aab4-8bd376fdc35c,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57168,ZENZONA,zenzona Vegan Gummies Brazilian Grape 100mg - Indica,221220-002-BRAG,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/3/2022,2/14/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/75369865-6123-426d-8600-e7507c2fae82,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57166,ZENZONA,zenzona Vegan Gummies 2:1 (100mg THC/50mg CBD) Blueberry - Indica,221220-002-BLB,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/3/2022,3/5/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/f56353bc-59ec-4bda-b4a3-3d94d646dc4f,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57165,ZENZONA,zenzona Vegan Gummies Wildberry 100mg - Indica,221220-002-ZWIL,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/3/2022,1/23/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/4387d3a0-ce82-4fd3-9acb-4143dd6159ed,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57163,ZENZONA,zenzona Vegan Gummies Watermelon 100mg - Indica,221220-002-ZWAT,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/3/2022,2/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/86a39ff4-121d-46d0-bc8a-207dda052c7a,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57162,ZENZONA,zenzona Vegan Gummies 1:1 (100mg CBD/100mg THC) Cherry - Hybrid,221220-002-CHE,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/3/2022,1/9/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/24d456ae-1e3d-44ce-b1af-559b59878cc2,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57161,ZENZONA,zenzona Vegan Gummies Strawberry 100mg - Hybrid,221220-0002-SB,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/3/2022,12/7/2023,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/83dec69d-9152-454f-9978-26ef9bed890f,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57160,ZENZONA,zenzona Vegan Gummies 1:1 (100mgCBD/100mg THC) Sour Citrus - Hybrid,221220-002-SOUR,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/3/2022,1/18/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/dafde77e-1692-4cc0-96ca-532cc67191b4,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57158,ZENZONA,zenzona Vegan Gummies Prickly Pear 100mg - Hybrid,221220-0002-PRC,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/3/2022,1/22/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/f5b6a246-45d1-4c80-bcd4-cfdb03149bc8,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57156,ZENZONA,zenzona Vegan Gummies Blackberry Cucumber 100mg - Hybrid,221220-002-BC,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/3/2022,12/12/2023,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/0cc153da-824b-4479-83d3-532804327455,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57154,ZENZONA,zenzona Vegan Gummies Raspberry 100mg - Sativa,221220-002-RASP,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/3/2022,2/26/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/6b783110-62ee-471e-9035-6072f4dfc2c2,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57153,ZENZONA,zenzona Vegan Gummies Blood Orange 100mg - Sativa,221220-002-ZBOR,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/3/2022,10/19/2023,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/1014f9a7-1f82-4289-8d66-bf1499d6e154,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57152,ZENZONA,zenzona Vegan Gummies Grapefruit 100mg - Sativa,221220-002-GF,Hybrid Blend,"Forever 46, LLC - 00000057DCHF00477864",10/3/2022,12/20/2023,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/6fe3bba9-d6db-410d-ab54-cff2803408ff,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
57122,ZENZONA,zenzona Vegan Gummies Pineberry 100mg RSO - Indica,240228-003-PB,Indica,"Forever 46, LLC - 00000057DCHF00477864",12/29/2023,3/25/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/71e440bd-f93c-4222-992e-7a5ba1cc31a7,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/