"","Products.Brand.Name","Inventory.Conversion.Inputs.Outputs.Output.Product","Strain.Name","Inventory.Conversions.Batch.Name","Inventory.Conversion.Inputs.Outputs.Output.Package.ID","Batch.Harvest.Date","Batch.Lab.Results.Lab.Result.URL","Products.Vendor.Name","Inventory.Producer.Name","Manufacturing.Date"
"1","ZENZONA","zenzona Vegan Gummies 2:1 (200mg CBD/100mg THC) Honeydew - Sativa","Hybrid Blend","221220-002-HON",57507,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"2","iLAVA","Lava Rocks 3.5g - Guava Cross","Guava Cross","240328-003",57480,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/6c4f9e58-3847-4dd2-b364-03208e1b1f69","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-21"
"3","iLAVA","Lava Rocks 3.5g - Fresh Fritter","Fresh Fritter","240221-001",57465,"2023-11-30",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"4","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Hybrid","231107-002",57336,"2023-09-05","https://orders.confidentcannabis.com/report/public/pdf/9fadd3bf-b7db-4396-8588-d5e13bdfca99","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"5","ZENZONA","zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid","Hybrid","231107-002-BLCR",57336,"2023-09-05",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-28"
"6","iLAVA","iLAVA Lava Rocks - Sunset Sherb","Sunset Sherb","240328-005",57317,"2024-02-13","https://orders.confidentcannabis.com/report/public/pdf/755ec2dd-cc27-47ba-9a52-61702d38f830","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"7","iLAVA","iLAVA Lava Rocks - Sunset Sherb","Sunset Sherb","240328-005",57315,"2024-02-13","https://orders.confidentcannabis.com/report/public/pdf/755ec2dd-cc27-47ba-9a52-61702d38f830","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"8","iLAVA","iLAVA Lava Rocks - Jet Cream","Jet Cream","240328-004",57314,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/8a7fe3ca-a622-478a-bda9-16a90aad6bae","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"9","iLAVA","iLAVA Lava Rocks - Jet Cream","Jet Cream","240328-004",57312,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/8a7fe3ca-a622-478a-bda9-16a90aad6bae","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"10","iLAVA","iLAVA Lava Rocks - Guava Cross","Guava Cross","240328-003",57311,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/6c4f9e58-3847-4dd2-b364-03208e1b1f69","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"11","iLAVA","iLAVA Lava Rocks - Guava Cross","Guava Cross","240328-003",57310,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/6c4f9e58-3847-4dd2-b364-03208e1b1f69","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"12","iLAVA","iLAVA Lava Rocks - Dweebz","Dweebz","240328-001",57308,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/77e28007-14f4-437c-a08e-52b3441609de","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"13","iLAVA","iLAVA Lava Rocks - Dweebz","Dweebz","240328-001",57307,"2024-01-17","https://orders.confidentcannabis.com/report/public/pdf/77e28007-14f4-437c-a08e-52b3441609de","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"14","ZENZONA","zenzona Pineapple 100mg Live Rosin - Hybrid","RS #11 X JC","240319-002-PI",57266,"2022-12-29","https://orders.confidentcannabis.com/report/public/pdf/39a73e0f-1d9b-42f8-9420-dee22e45feed","Forever 46, LLC - 00000057DCHF00477864","Greenmed, Inc. - 00000113ESLZ23317951","2024-03-25"
"15","ZENZONA","zenzona Green Apple 100mg Live Rosin - Indica","Fried Ice Cream","240319-003-GA",57265,"2023-02-27","https://orders.confidentcannabis.com/report/public/pdf/900aa0e5-c21c-4282-abe6-457ed6ab94cc","Forever 46, LLC - 00000057DCHF00477864","Greenmed, Inc. - 00000113ESLZ23317951","2024-03-25"
"16","ZENZONA","zenzona Mango Chamoy 100mg Live Rosin - Hybrid","WAP #27","240319-001-MC",57259,"2023-05-02","https://orders.confidentcannabis.com/report/public/pdf/316218a8-7adc-4569-bf94-a1ea2d9f1c0a","Forever 46, LLC - 00000057DCHF00477864","Greenmed, Inc. - 00000113ESLZ23317951","2024-03-25"
"17","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","230607-001RSO-PINE",57170,"2023-05-02","https://orders.confidentcannabis.com/report/public/pdf/cf0c84a3-5467-43ab-9241-cd7804522079","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"18","ZENZONA","zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa","Sativa","230811-001-ITZ",57169,"2023-06-21","https://orders.confidentcannabis.com/report/public/pdf/adebc888-b4c5-4f46-aab4-8bd376fdc35c","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"19","ZENZONA","zenzona Vegan Gummies Brazilian Grape 100mg - Indica","Hybrid Blend","221220-002-BRAG",57168,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/75369865-6123-426d-8600-e7507c2fae82","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"20","ZENZONA","zenzona Vegan Gummies 2:1 (100mg THC/50mg CBD) Blueberry - Indica","Hybrid Blend","221220-002-BLB",57166,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/f56353bc-59ec-4bda-b4a3-3d94d646dc4f","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"21","ZENZONA","zenzona Vegan Gummies Wildberry 100mg - Indica","Hybrid Blend","221220-002-ZWIL",57165,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/4387d3a0-ce82-4fd3-9acb-4143dd6159ed","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"22","ZENZONA","zenzona Vegan Gummies Watermelon 100mg - Indica","Hybrid Blend","221220-002-ZWAT",57163,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/86a39ff4-121d-46d0-bc8a-207dda052c7a","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"23","ZENZONA","zenzona Vegan Gummies 1:1 (100mg CBD/100mg THC) Cherry - Hybrid","Hybrid Blend","221220-002-CHE",57162,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/24d456ae-1e3d-44ce-b1af-559b59878cc2","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"24","ZENZONA","zenzona Vegan Gummies Strawberry 100mg - Hybrid","Hybrid Blend","221220-0002-SB",57161,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/83dec69d-9152-454f-9978-26ef9bed890f","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"25","ZENZONA","zenzona Vegan Gummies 1:1 (100mgCBD/100mg THC) Sour Citrus - Hybrid","Hybrid Blend","221220-002-SOUR",57160,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/dafde77e-1692-4cc0-96ca-532cc67191b4","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"26","ZENZONA","zenzona Vegan Gummies Prickly Pear 100mg - Hybrid","Hybrid Blend","221220-0002-PRC",57158,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/f5b6a246-45d1-4c80-bcd4-cfdb03149bc8","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"27","ZENZONA","zenzona Vegan Gummies Blackberry Cucumber 100mg - Hybrid","Hybrid Blend","221220-002-BC",57156,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/0cc153da-824b-4479-83d3-532804327455","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"28","ZENZONA","zenzona Vegan Gummies 2:1 (200mg CBD/100mg THC) Honeydew - Sativa","Hybrid Blend","221220-002-HON",57155,"2022-10-03",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
"29","ZENZONA","zenzona Vegan Gummies Raspberry 100mg - Sativa","Hybrid Blend","221220-002-RASP",57154,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/6b783110-62ee-471e-9035-6072f4dfc2c2","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"30","ZENZONA","zenzona Vegan Gummies Blood Orange 100mg - Sativa","Hybrid Blend","221220-002-ZBOR",57153,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/1014f9a7-1f82-4289-8d66-bf1499d6e154","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"31","ZENZONA","zenzona Vegan Gummies Grapefruit 100mg - Sativa","Hybrid Blend","221220-002-GF",57152,"2022-10-03","https://orders.confidentcannabis.com/report/public/pdf/6fe3bba9-d6db-410d-ab54-cff2803408ff","Forever 46, LLC - 00000057DCHF00477864",NA,NA
"32","ZENZONA","zenzona Vegan Gummies Pineberry 100mg RSO - Indica","Indica","240228-003-PB",57122,"2023-12-29","https://orders.confidentcannabis.com/report/public/pdf/71e440bd-f93c-4222-992e-7a5ba1cc31a7","Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-03-25"
"33","iLAVA","iLAVA Touch 2.85oz. (250mg CBD/300mg THC) - Hybrid","Hybrid Blend","240110-001",57080,"2023-07-25",NA,"Forever 46, LLC - 00000057DCHF00477864","Forever 46, LLC - 00000057DCHF00477864","2024-01-10"
"34","DTF - Downtown Flower","White Truffle 3.5g","White Truffle","317s-240117.0001-W3",57010,"2024-01-17",NA,"Forever 46, LLC - 00000057DCHF00477864",NA,NA
