,Package.ID,Brand,Product,Batch,Strain,Distribution.Chain,Date.of.Harvest,Date.of.Manufacture,Cultivated.By,Laboratory.Testing.Results,Point.of.Intended.Sale,Extraction.Method
119,57334,ZENZONA,zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid,230606-001-BBC,Larry Lem OG,"Forever 46, LLC - 00000057DCHF00477864",4/19/2023,7/4/2024,"Forever 46, LLC - 00000057DCHF00477864",https://tinyurl.com/yn249mxn,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
123,59988,ZENZONA,zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid,231107-002-BLCR,Gary Satan,"Forever 46, LLC - 00000057DCHF00477864",9/5/2023,7/2/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/98554efc-9ca1-4424-b246-fe530d85c470,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
126,59970,ZENZONA,zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,230811-001-ITZ,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",6/21/2023,7/1/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/adebc888-b4c5-4f46-aab4-8bd376fdc35c,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
197,59632,HI KETO,Hi Keto Chocolate Chip Cookies 20mg RSO - Indica (SAMPLE),221227-003-HIKSAM,Black Water,"Forever 46, LLC - 00000057DCHF00477864",10/21/2022,6/13/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/4f8d4652-021e-4cdb-a9ab-fff37da4dd18,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
200,59526,ZENZONA,zenzona Vegan Gummies Pineberry 100mg RSO - Indica,230607-001RSO-PINE,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,6/11/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/cf0c84a3-5467-43ab-9241-cd7804522079,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
210,59481,ZENZONA,zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,230811-001-ITZ,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",6/21/2023,6/10/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/adebc888-b4c5-4f46-aab4-8bd376fdc35c,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
226,59442,HI KETO,Hi Keto Chocolate Chip Cookies 100mg RSO- Indica,221227-002-HIK,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",12/27/2022,6/6/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/cc8218b2-aa6d-4a53-8ca5-caafe7775252,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
232,59301,ZENZONA,zenzona Vegan Gummies Pineberry 100mg RSO - Indica,230607-001RSO-PINE,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,6/3/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/cf0c84a3-5467-43ab-9241-cd7804522079,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
293,58904,ZENZONA,zenzona Vegan Gummies Pineberry 100mg RSO - Indica,230607-001RSO-PINE,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,5/20/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/cf0c84a3-5467-43ab-9241-cd7804522079,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
316,58686,ZENZONA,zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid,240402-001,Gello,"Forever 46, LLC - 00000057DCHF00477864",1/17/2024,5/9/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/23182333-ebf0-473e-bcc5-39e1980be18d,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
319,58630,ZENZONA,zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,230811-001-ITZ,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",6/21/2023,5/8/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/adebc888-b4c5-4f46-aab4-8bd376fdc35c,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
334,58514,HI KETO,Hi Keto Chocolate Chip Cookies 100mg RSO- Indica,221227-002-KETO,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",12/27/2022,5/1/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/611df68d-fdf3-449b-82dc-68eb5b2f8039,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
336,58513,HI KETO,Hi Keto Chocolate Chip Cookies 100mg RSO- Indica,221227-002-KETO,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",12/27/2022,4/30/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/611df68d-fdf3-449b-82dc-68eb5b2f8039,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
344,58511,HI KETO,Hi Keto Chocolate Chip Cookies 100mg RSO- Indica,221227-002-KETO,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",12/27/2022,4/29/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/611df68d-fdf3-449b-82dc-68eb5b2f8039,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
462,57788,ZENZONA,zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,230811-001-ITZ,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",6/21/2023,4/10/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/adebc888-b4c5-4f46-aab4-8bd376fdc35c,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
500,57336,ZENZONA,zenzona Vegan Gummies Blackberries and Cream 100mg RSO - Hybrid,231107-002-BLCR,Gary Satan,"Forever 46, LLC - 00000057DCHF00477864",9/5/2023,3/28/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/98554efc-9ca1-4424-b246-fe530d85c470,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
557,57122,ZENZONA,zenzona Vegan Gummies Pineberry 100mg RSO - Indica,240228-003-PB,Dweebz,"Forever 46, LLC - 00000057DCHF00477864",12/29/2023,3/25/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/71e440bd-f93c-4222-992e-7a5ba1cc31a7,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
594,57169,ZENZONA,zenzona Vegan Gummies Italian Zorbet 100mg RSO - Sativa,230811-001-ITZ,Blue Dream X,"Forever 46, LLC - 00000057DCHF00477864",6/21/2023,3/18/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/adebc888-b4c5-4f46-aab4-8bd376fdc35c,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
681,57170,ZENZONA,zenzona Vegan Gummies Pineberry 100mg RSO - Indica,230607-001RSO-PINE,Kosher Kush,"Forever 46, LLC - 00000057DCHF00477864",5/2/2023,2/21/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/cf0c84a3-5467-43ab-9241-cd7804522079,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
690,55966,HI KETO,Hi Keto Chocolate Chip Cookies 100mg RSO- Indica,221227-003-HIK,Blackwater,"Forever 46, LLC - 00000057DCHF00477864",10/21/2022,2/19/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/6ce4b22a-6698-4914-b658-806a415f61e1,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
839,54853,HI KETO,Hi Keto Chocolate Chip Cookies 20mg RSO - Indica (SAMPLE),221227-002-HIKSAM,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",12/27/2022,1/16/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/d87cb05b-2785-4ebd-ab21-1acf5a2984d8,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
840,58118,HI KETO,Hi Keto Chocolate Chip Cookies 100mg RSO- Indica,221227-002-KETO,Wedding Cake,"Forever 46, LLC - 00000057DCHF00477864",12/27/2022,1/16/2024,"Forever 46, LLC - 00000057DCHF00477864",https://orders.confidentcannabis.com/report/public/pdf/611df68d-fdf3-449b-82dc-68eb5b2f8039,https://ilava.com/point-of-intended-sale/,https://ilava.com/extraction-methods/
